"","Dlr.Code","Tehsil","Model.Enquired","DSE","Enq.Type","Status","Status_der"
"1",262001,63,100,1,2,4,"0"
"2",262001,173,170,1,1,7,"0"
"16",262001,63,151,1,1,7,"0"
"29",262001,147,165,1,2,5,"0"
"39",262001,152,144,1,1,7,"0"
"46",262001,107,92,102,2,4,"0"
"53",262001,107,87,102,2,4,"0"
"59",262001,145,87,102,2,4,"0"
"64",262001,107,87,102,2,4,"0"
"69",262001,107,173,102,2,4,"0"
"76",262001,107,150,102,2,4,"0"
"85",262001,107,150,102,1,7,"0"
"99",262001,107,97,102,2,4,"0"
"106",262001,107,106,102,2,4,"0"
"113",262001,107,94,102,2,4,"0"
"119",262001,107,87,102,2,4,"0"
"125",262001,107,91,102,2,4,"0"
"132",262001,3,173,102,1,7,"0"
"146",262001,107,166,102,2,3,"1"
"147",262001,107,173,102,2,4,"0"
"156",262001,107,158,102,1,7,"0"
"166",262001,107,152,102,1,7,"0"
"176",262001,107,151,102,1,7,"0"
"187",262001,107,124,102,1,7,"0"
"197",262001,38,99,102,1,7,"0"
"208",262001,145,154,102,2,4,"0"
"214",262001,107,105,102,2,4,"0"
"222",262001,145,135,102,1,7,"0"
"234",262001,145,111,102,2,4,"0"
"240",262001,145,135,102,2,4,"0"
"246",262001,38,91,102,1,7,"0"
"257",262001,145,135,102,2,4,"0"
"263",262001,145,135,102,2,4,"0"
"269",262001,145,135,102,2,4,"0"
"275",262001,38,154,102,1,7,"0"
"287",262001,116,158,102,1,7,"0"
"299",262001,38,99,102,1,7,"0"
"310",262001,38,98,102,1,7,"0"
"322",262001,107,101,102,1,7,"0"
"333",262001,145,173,102,2,4,"0"
"340",262001,116,173,102,1,7,"0"
"352",262001,107,87,102,2,4,"0"
"360",262001,145,87,102,2,4,"0"
"366",262001,107,97,102,1,7,"0"
"376",262001,107,127,102,1,7,"0"
"387",262001,107,110,102,1,7,"0"
"398",262001,107,153,102,1,7,"0"
"408",262001,107,126,102,1,7,"0"
"419",262001,107,113,102,1,7,"0"
"429",262001,107,120,102,1,7,"0"
"438",262001,107,131,102,1,7,"0"
"448",262001,107,100,102,2,4,"0"
"453",262001,107,99,102,2,4,"0"
"457",262001,145,114,102,1,7,"0"
